condition,label,role,prenatal_reduction,true_trend_log_per_year,reason,source
ca_hypo,Hypospadias,control,none,0.0,"Male-only and not prenatally diagnosable; there is no detection-and-termination channel at all. The strongest available control. Prevalence trend left at zero: level shift of -16.3% at 2019 (z=-6.0), so the fitted slope averages a discontinuity rather than measuring a trend; dispersion 5.01 against a limit of 3.00, so a straight line does not describe the series and its slope is not a prevalence trend.",curation; trend from TBDR 2010-2022
ca_clpal,Cleft palate alone,control,none,-0.001177,"Poorly detectable on routine prenatal ultrasound because the secondary palate is obscured; termination for isolated cleft palate is essentially unrecorded in the US. Caution: definitionally exclusive with ca_cleft but co-flagged on 16.3% of its records over 2016-2024 so the two are not independent controls; dropping it changes the fitted total by 16 births and widens the interval slightly. Prevalence trend pinned to -0.00118 log per year (SE 0.00657) from Texas Birth Defects Registry Annual Report, Table 2A, deliveries 1999-2022 (Texas DSHS, September 2025); active surveillance, diagnoses abstracted from medical records, 2010-2022.",curation; trend from TBDR 2010-2022
ca_cleft,Cleft lip with or without cleft palate,control,none,-0.002812,"Detectable prenatally from the second trimester but isolated cleft lip is essentially never terminated in the US. Prevalence trend pinned to -0.00281 log per year (SE 0.00495) from Texas Birth Defects Registry Annual Report, Table 2A, deliveries 1999-2022 (Texas DSHS, September 2025); active surveillance, diagnoses abstracted from medical records, 2010-2022.",curation; trend from TBDR 2010-2022
ca_limb,Limb reduction defect,control,none,-0.006476,"Detectable prenatally; termination is rare and confined to severe multi-limb cases. Prevalence trend pinned to -0.00648 log per year (SE 0.00537) from Texas Birth Defects Registry Annual Report, Table 2A, deliveries 1999-2022 (Texas DSHS, September 2025); active surveillance, diagnoses abstracted from medical records, 2010-2022.",curation; trend from TBDR 2010-2022
ca_gast,Gastroschisis,excluded,none,-0.037979,"Has no material reduction channel and would otherwise qualify as a control. Excluded because its true US birth prevalence is genuinely falling after a long rise: its composition-adjusted recorded rate falls 25.9% over 2016-2018 to 2022-2024. Attributing that to recording would be wrong. Prevalence trend pinned to -0.03798 log per year (SE 0.00533) from Texas Birth Defects Registry Annual Report, Table 2A, deliveries 1999-2022 (Texas DSHS, September 2025); active surveillance, diagnoses abstracted from medical records, 2010-2022.",curation; trend from TBDR 2010-2022
ca_cchd,Cyanotic congenital heart disease,excluded,partial,0.0,Ascertainment changed independently of the shared item: universal newborn pulse-oximetry screening was phased in across the states over 2011-2018. Its composition-adjusted recorded rate rose 14.6% over 2016-2018 to 2022-2024 while every control fell. Retained as a named negative control rather than dropped silently. Prevalence trend not pinned: no active-surveillance series extracted for this condition.,curation
ca_anen,Anencephaly,excluded,substantial,0.0,Near-universal termination after prenatal detection makes the recorded rate a reduction signal rather than a recording signal. Prevalence trend not pinned: no active-surveillance series extracted for this condition.,curation
ca_mnsb,Meningomyelocele / spina bifida,excluded,substantial,0.0,Substantial termination after prenatal detection. Prevalence trend not pinned: no active-surveillance series extracted for this condition.,curation
ca_cdh,Congenital diaphragmatic hernia,excluded,partial,0.0,Reliably detected prenatally with some termination; the recorded rate mixes both channels. Prevalence trend not pinned: no active-surveillance series extracted for this condition.,curation
ca_omph,Omphalocele,excluded,substantial,0.0,Frequently associated with a chromosomal abnormality and so shares the Down syndrome detection-and-termination channel directly. Prevalence trend not pinned: no active-surveillance series extracted for this condition.,curation
ca_disor,Suspected chromosomal disorder other than Down syndrome,excluded,substantial,0.0,Shares the Down syndrome prenatal-detection and termination channel directly and responds to the same NIPT rollout; it is a co-outcome rather than a control. Not populated in the current extract in any case. Prevalence trend not pinned: no active-surveillance series extracted for this condition.,curation
